 Time,Amplitude
  0.000000,  0.000113
  0.000023,  0.000227
  0.000045,  0.000340
  0.000068,  0.000454
  0.000091,  0.000567
  0.000113,  0.000680
  0.000136,  0.000794
  0.000159,  0.000907
  0.000181,  0.001020
  0.000204,  0.001134
  0.000227,  0.001247
  0.000249,  0.001361
  0.000272,  0.001474
  0.000295,  0.001587
  0.000317,  0.001701
  0.000340,  0.001814
  0.000363,  0.001927
  0.000385,  0.002041
  0.000408,  0.002154
  0.000431,  0.002268
  0.000454,  0.002381
  0.000476,  0.002494
  0.000499,  0.002608
  0.000522,  0.002721
  0.000544,  0.002834
  0.000567,  0.002948
  0.000590,  0.003061
  0.000612,  0.003175
  0.000635,  0.003288
  0.000658,  0.003401
  0.000680,  0.003515
  0.000703,  0.003628
  0.000726,  0.003741
  0.000748,  0.003855
  0.000771,  0.003968
  0.000794,  0.004082
  0.000816,  0.004195
  0.000839,  0.004308
  0.000862,  0.004422
  0.000884,  0.004535
  0.000907,  0.004649
  0.000930,  0.004762
  0.000952,  0.004875
  0.000975,  0.004989
  0.000998,  0.005102
  0.001020,  0.005215
  0.001043,  0.005329
  0.001066,  0.005442
  0.001088,  0.005556
  0.001111,  0.005669
  0.001134,  0.005782
  0.001156, -0.005896
  0.001179, -0.006009
  0.001202, -0.006122
  0.001224, -0.006236
  0.001247, -0.006349
  0.001270, -0.006463
  0.001293, -0.006576
  0.001315, -0.006689
  0.001338, -0.006803
  0.001361, -0.006916
  0.001383, -0.007029
  0.001406, -0.007143
  0.001429, -0.007256
  0.001451, -0.007370
  0.001474, -0.007483
  0.001497, -0.007596
  0.001519, -0.007710
  0.001542, -0.007823
  0.001565, -0.007937
  0.001587, -0.008050
  0.001610, -0.008163
  0.001633, -0.008277
  0.001655, -0.008390
  0.001678, -0.008503
  0.001701, -0.008617
  0.001723, -0.008730
  0.001746, -0.008844
  0.001769, -0.008957
  0.001791, -0.009070
  0.001814, -0.009184
  0.001837, -0.009297
  0.001859, -0.009410
  0.001882, -0.009524
  0.001905, -0.009637
  0.001927, -0.009751
  0.001950, -0.009864
  0.001973, -0.009977
  0.001995, -0.010091
  0.002018, -0.010204
  0.002041, -0.010317
  0.002063, -0.010431
  0.002086, -0.010544
  0.002109, -0.010658
  0.002132, -0.010771
  0.002154, -0.010884
  0.002177, -0.010998
  0.002200, -0.011111
  0.002222, -0.011224
  0.002245, -0.011338
  0.002268, -0.011451
  0.002290,  0.011565
  0.002313,  0.011678
  0.002336,  0.011791
  0.002358,  0.011905
  0.002381,  0.012018
  0.002404,  0.012132
  0.002426,  0.012245
  0.002449,  0.012358
  0.002472,  0.012472
  0.002494,  0.012585
  0.002517,  0.012698
  0.002540,  0.012812
  0.002562,  0.012925
  0.002585,  0.013039
  0.002608,  0.013152
  0.002630,  0.013265
  0.002653,  0.013379
  0.002676,  0.013492
  0.002698,  0.013605
  0.002721,  0.013719
  0.002744,  0.013832
  0.002766,  0.013946
  0.002789,  0.014059
  0.002812,  0.014172
  0.002834,  0.014286
  0.002857,  0.014399
  0.002880,  0.014512
  0.002902,  0.014626
  0.002925,  0.014739
  0.002948,  0.014853
  0.002971,  0.014966
  0.002993,  0.015079
  0.003016,  0.015193
  0.003039,  0.015306
  0.003061,  0.015420
  0.003084,  0.015533
  0.003107,  0.015646
  0.003129,  0.015760
  0.003152,  0.015873
  0.003175,  0.015986
  0.003197,  0.016100
  0.003220,  0.016213
  0.003243,  0.016327
  0.003265,  0.016440
  0.003288,  0.016553
  0.003311,  0.016667
  0.003333,  0.016780
  0.003356,  0.016893
  0.003379,  0.017007
  0.003401,  0.017120
  0.003424, -0.017234
  0.003447, -0.017347
  0.003469, -0.017460
  0.003492, -0.017574
  0.003515, -0.017687
  0.003537, -0.017800
  0.003560, -0.017914
  0.003583, -0.018027
  0.003605, -0.018141
  0.003628, -0.018254
  0.003651, -0.018367
  0.003673, -0.018481
  0.003696, -0.018594
  0.003719, -0.018707
  0.003741, -0.018821
  0.003764, -0.018934
  0.003787, -0.019048
  0.003810, -0.019161
  0.003832, -0.019274
  0.003855, -0.019388
  0.003878, -0.019501
  0.003900, -0.019615
  0.003923, -0.019728
  0.003946, -0.019841
  0.003968, -0.019955
  0.003991, -0.020068
  0.004014, -0.020181
  0.004036, -0.020295
  0.004059, -0.020408
  0.004082, -0.020522
  0.004104, -0.020635
